variable,label
group_info_geo,Informations géographiques
date_enquete,Date de l'enquête
heure_debut,Moment du début de l'entretien
heure_fin,Moment de fin de l'entretien
enqueteur,Nom de l'enquêteur
code_jeton,Écrire votre code jeton donné par le responsable
village,Écrire le nom du village
presence_maison,Est-ce que vous êtes en capacité d'observer le logement de la personne enquêtée?
group_info_geo,
volont,Êtes-vous d’accord pour participer à cette enquête ?
enquete,Début de l'entretien
acpt_partage,"Dans le cadre de la coordination avec différentes ONG partenaires, nous pouvons peut être amené à partager certaines des informations sur votre ménage qui seront collectées au cours de cette enquête. Donnez-vous votre accord pour ce partage ?"
repondant,La personne enquêtée est-elle le ou la chef du ménage ?
groupe_info,Informations sur le ou la répondant.e
age,Âge de la personne
sexe,Genre de la personne
groupe_info,
poss_carte,Dispose t'il/elle d'une pièce d'identité (carte d'électeur ou autres)?
typedepiece,Quel est le type de pièce d’identité?
statmtr,Statut matrimonial du répondant
decision,Qui décide de la façon d’utiliser l’argent au sein du ménage
group_statut_menage,Statut du ménage
status,Statut du ménage
herber,Quel est le type d'hebergement ?
environ,Dans quel état est l'herbergement ?
date_deplacement,Date du déplacement
date_retour,Date du mouvement de retour
loyer_depl,Est-ce que vous payez un loyer ?
loyer_depl_montant,Quel est le montant de ce loyer?
loyer_auto,Est-ce que vous recevez un loyer des personnes que vous hébergez?
loyer_auto_montant,Quel est le montant de ce loyer?
group_statut_menage,
h,Combien y a-t-ils de membres dans votre ménage?:Hommes
h_0_5,Enfants  garçon de 0_5 mois
h_6_24,Enfant garçon de 6_24 mois
h_25_59,Enfant garçon de 25_59 mois
h_5_14,Jeune garçon de 5 à 14 ans
h_15_17,Jeune garçon de 15 à 17 ans
h_18_49,Homme de 18 à 49 ans
h_50_59,Homme de 50 à 59 ans
h_plus60,Homme de plus de 60 ans
h,
f,Combien y a-t-ils de membres dans votre ménage? :Femmes
f_0_5,Enfants  Fille de 0_5 mois
f_6_24,Enfant Fille de 6_24 mois
f_25_59,Enfant Fille de 25_59 mois
f_5_14,Jeune Fille de 5 à 14 ans
f_15_17,Jeune Fille de 15 à 17 ans
f_18_49,Femme de 18 à 49 ans
f_50_59,Femme de 50 à 59 ans
f_plus60,Femme de plus de 60 ans
f,
fem_enc,il y a-t-il des femmes enceintes dans votre menage?
fem_all,il y a-t-il des femmes allaitantes dans votre menage?
washington,
questionnaire_washington,"Les questions suivantes portent sur les difficultés que vous pouvez éprouver en faisant certaines activités, du fait d’un PROBLÈME DE SANTÉ."
vis_ss,"Avez-vous des problèmes de vue, même avec des lunettes ou une aide autre ? Diriez-vous..."
hear_ss,"Éprouvez-vous des difficultés à entendre, même avec une aide auditive? Diriez-vous…"
mob_ss,Éprouvez-vous des difficultés à marcher ou à monter les escaliers ? Diriez-vous...
cog_ss,Éprouvez-vous des difficultés à vous rappeler certaines choses ou à vous concentrer ? Diriez-vous...
sc_ss,"Éprouvez-vous des difficultés à prendre soin de vous, à vous laver ou à vous habiller, par exemple ? Diriez-vous…"
com_ss,"Éprouvez-vous des difficultés à communiquer dans votre langue habituelle, à comprendre les autres ou à vous faire comprendre, par exemple ? Diriez-vous…"
washington,
observation_0,Trouvez-vous que l'environnement est adapté aux personnes qui y vivent?
adultincap,Combien d’adultes (18 ans et plus) sont actuellement incapables / en difficulté de travailler ?
hand,"Il y a-t-il actuellement des membres de votre ménage qui présentent un handicap? (Handicap moteur, mental, auditif, visuel)"
malnut,Est-ce qu'un des enfants du foyer présente des signes de malnutrition ?
malnut_charge,"Si oui, est-ce que cet enfant ou ces enfants sont pris en charge ?"
malnut_charge_non,Pourquoi les enfants ne sont pas pris en charge dans un centre de santé?
source_revenu,REVENU
source_reve,Le ménage a-t-il une source de revenus?
revenu,Indiquez le montant du revenu mensuel moyen du ménage au cours des 6 derniers mois
dette,"Avez-vous des dettes (en nature, espèce) actuellement dans votre ménage ?"
montant_dette,Quel est le montant de l’endettement actuel du ménage
source_revenu,REVENU
repas_a,Combien de repas par jour prennent les adultes du ménage actuellement ?
repas_e,Combien de repas par jour prennent les enfant du ménage actuellement ?
ressources,"Au cours des  4 derniers semaines/30 jours, est-il arrivé qu’il n’y ait  aucun aliment à manger à la maison de quelque nature que ce soit à cause du manque des ressources?"
repas_r,Combien de fois est-ce arrivé au cours de ces 4 dernières semaines?
